Î»,Ïƒ,uncertainty
130.83,3.5128e-17,1.084e-18
130.88,3.5040e-17,1.08e-18
130.93,3.4935e-17,1.077e-18
130.98,3.4829e-17,1.074e-18
131.03,3.4724e-17,1.071e-18
131.08,3.4622e-17,1.068e-18
131.13,3.4548e-17,1.067e-18
131.18,3.4474e-17,1.065e-18
131.23,3.4400e-17,1.064e-18
131.28,3.4329e-17,1.062e-18
131.33,3.4261e-17,1.058e-18
131.38,3.4194e-17,1.055e-18
131.43,3.4127e-17,1.052e-18
131.48,3.4053e-17,1.048e-18
131.53,3.3971e-17,1.044e-18
131.58,3.3889e-17,1.04e-18
131.63,3.3808e-17,1.036e-18
131.68,3.3743e-17,1.035e-18
131.73,3.3688e-17,1.034e-18
131.78,3.3632e-17,1.034e-18
131.83,3.3576e-17,1.034e-18
131.88,3.3500e-17,1.031e-18
131.93,3.3421e-17,1.028e-18
131.98,3.3342e-17,1.025e-18
132.03,3.3263e-17,1.022e-18
132.08,3.3177e-17,1.021e-18
132.13,3.3092e-17,1.02e-18
132.18,3.3007e-17,1.02e-18
132.23,3.2923e-17,1.019e-18
132.28,3.2843e-17,1.016e-18
132.33,3.2764e-17,1.014e-18
132.38,3.2684e-17,1.012e-18
132.43,3.2597e-17,1.009e-18
132.48,3.2499e-17,1.005e-18
132.53,3.2401e-17,1.001e-18
132.58,3.2303e-17,9.974e-19
132.63,3.2202e-17,9.918e-19
132.68,3.2100e-17,9.855e-19
132.73,3.1998e-17,9.796e-19
132.78,3.1896e-17,9.742e-19
132.83,3.1791e-17,9.703e-19
132.88,3.1684e-17,9.669e-19
132.93,3.1577e-17,9.636e-19
132.98,3.1470e-17,9.604e-19
133.03,3.1405e-17,9.582e-19
133.08,3.1340e-17,9.561e-19
133.13,3.1275e-17,9.541e-19
133.18,3.1216e-17,9.522e-19
133.23,3.1182e-17,9.509e-19
133.28,3.1149e-17,9.497e-19
133.33,3.1115e-17,9.485e-19
133.38,3.1085e-17,9.475e-19
133.43,3.1058e-17,9.468e-19
133.48,3.1032e-17,9.461e-19
133.53,3.1006e-17,9.454e-19
133.58,3.0990e-17,9.447e-19
133.63,3.0981e-17,9.439e-19
133.68,3.0972e-17,9.434e-19
133.73,3.0963e-17,9.43e-19
133.78,3.0990e-17,9.436e-19
133.83,3.1028e-17,9.445e-19
133.88,3.1066e-17,9.455e-19
133.93,3.1104e-17,9.466e-19
133.98,3.1124e-17,9.468e-19
134.03,3.1144e-17,9.471e-19
134.08,3.1163e-17,9.475e-19
134.18,3.1130e-17,9.47e-19
134.23,3.1088e-17,9.461e-19
134.28,3.1045e-17,9.453e-19
134.33,3.1002e-17,9.439e-19
134.38,3.0960e-17,9.416e-19
134.43,3.0918e-17,9.394e-19
134.48,3.0875e-17,9.374e-19
134.53,3.0822e-17,9.352e-19
134.58,3.0759e-17,9.329e-19
134.63,3.0697e-17,9.307e-19
134.68,3.0635e-17,9.285e-19
134.73,3.0586e-17,9.27e-19
134.78,3.0543e-17,9.259e-19
134.83,3.0499e-17,9.251e-19
134.88,3.0455e-17,9.246e-19
134.93,3.0416e-17,9.256e-19
134.98,3.0376e-17,9.272e-19
135.03,3.0337e-17,9.292e-19
135.08,3.0296e-17,9.313e-19
135.13,3.0241e-17,9.314e-19
135.18,3.0186e-17,9.317e-19
135.23,3.0131e-17,9.32e-19
135.28,3.0055e-17,9.304e-19
135.33,2.9943e-17,9.252e-19
135.38,2.9830e-17,9.201e-19
135.43,2.9718e-17,9.15e-19
135.48,2.9617e-17,9.111e-19
135.53,2.9525e-17,9.079e-19
135.58,2.9434e-17,9.047e-19
135.63,2.9343e-17,9.016e-19
135.68,2.9275e-17,9.002e-19
135.73,2.9214e-17,8.996e-19
135.78,2.9154e-17,8.991e-19
135.83,2.9094e-17,8.988e-19
135.88,2.9021e-17,8.948e-19
135.93,2.8947e-17,8.906e-19
135.98,2.8872e-17,8.865e-19
136.03,2.8799e-17,8.827e-19
136.08,2.8729e-17,8.802e-19
136.13,2.8660e-17,8.778e-19
136.18,2.8590e-17,8.753e-19
136.23,2.8538e-17,8.744e-19
136.28,2.8518e-17,8.764e-19
136.33,2.8497e-17,8.786e-19
136.38,2.8477e-17,8.812e-19
136.43,2.8462e-17,8.826e-19
136.48,2.8451e-17,8.831e-19
136.53,2.8441e-17,8.835e-19
136.58,2.8430e-17,8.841e-19
136.63,2.8441e-17,8.857e-19
136.68,2.8459e-17,8.877e-19
136.73,2.8477e-17,8.898e-19
136.78,2.8495e-17,8.919e-19
136.83,2.8525e-17,8.918e-19
136.88,2.8555e-17,8.916e-19
136.93,2.8585e-17,8.915e-19
136.98,2.8620e-17,8.911e-19
137.03,2.8680e-17,8.892e-19
137.08,2.8740e-17,8.877e-19
137.13,2.8800e-17,8.865e-19
137.18,2.8879e-17,8.879e-19
137.23,2.8993e-17,8.936e-19
137.28,2.9107e-17,8.996e-19
137.33,2.9220e-17,9.058e-19
137.38,2.9336e-17,9.113e-19
137.43,2.9455e-17,9.163e-19
137.48,2.9573e-17,9.214e-19
137.53,2.9691e-17,9.264e-19
137.58,2.9833e-17,9.313e-19
137.63,2.9983e-17,9.361e-19
137.68,3.0132e-17,9.41e-19
137.73,3.0282e-17,9.458e-19
137.78,3.0455e-17,9.545e-19
137.83,3.0628e-17,9.633e-19
137.88,3.0802e-17,9.724e-19
137.93,3.0969e-17,9.808e-19
137.98,3.1113e-17,9.86e-19
138.03,3.1256e-17,9.911e-19
138.08,3.1399e-17,9.963e-19
138.13,3.1546e-17,1.001e-18
138.18,3.1698e-17,1.006e-18
138.23,3.1851e-17,1.011e-18
138.28,3.2004e-17,1.015e-18
138.33,3.2136e-17,1.017e-18
138.38,3.2255e-17,1.016e-18
138.43,3.2375e-17,1.015e-18
138.48,3.2494e-17,1.014e-18
138.53,3.2570e-17,1.013e-18
138.58,3.2638e-17,1.011e-18
138.63,3.2705e-17,1.01e-18
138.68,3.2771e-17,1.009e-18
138.73,3.2781e-17,1.008e-18
138.78,3.2791e-17,1.008e-18
138.83,3.2801e-17,1.007e-18
138.88,3.2808e-17,1.007e-18
138.93,3.2805e-17,1.009e-18
138.98,3.2802e-17,1.01e-18
139.03,3.2799e-17,1.011e-18
139.08,3.2800e-17,1.013e-18
139.13,3.2807e-17,1.016e-18
139.18,3.2813e-17,1.018e-18
139.23,3.2819e-17,1.021e-18
139.28,3.2798e-17,1.02e-18
139.33,3.2764e-17,1.018e-18
139.38,3.2729e-17,1.015e-18
139.43,3.2694e-17,1.012e-18
139.48,3.2643e-17,1.008e-18
139.53,3.2590e-17,1.003e-18
139.58,3.2536e-17,9.993e-19
139.63,3.2485e-17,9.955e-19
139.68,3.2460e-17,9.946e-19
139.73,3.2436e-17,9.938e-19
139.78,3.2411e-17,9.929e-19
139.83,3.2390e-17,9.923e-19
139.88,3.2378e-17,9.922e-19
139.93,3.2366e-17,9.921e-19
139.98,3.2353e-17,9.92e-19
140.03,3.2343e-17,9.92e-19
140.08,3.2333e-17,9.919e-19
140.13,3.2324e-17,9.918e-19
140.18,3.2315e-17,9.917e-19
140.23,3.2296e-17,9.889e-19
140.28,3.2273e-17,9.853e-19
140.33,3.2250e-17,9.82e-19
140.38,3.2227e-17,9.79e-19
140.43,3.2244e-17,9.789e-19
140.48,3.2263e-17,9.791e-19
140.53,3.2282e-17,9.794e-19
140.58,3.2312e-17,9.802e-19
140.63,3.2403e-17,9.846e-19
140.68,3.2494e-17,9.893e-19
140.73,3.2586e-17,9.942e-19
140.78,3.2681e-17,9.99e-19
140.83,3.2782e-17,1.003e-18
140.88,3.2883e-17,1.007e-18
140.93,3.2984e-17,1.012e-18
140.98,3.3039e-17,1.014e-18
141.03,3.3059e-17,1.014e-18
141.08,3.3080e-17,1.015e-18
141.13,3.3101e-17,1.016e-18
141.18,3.3109e-17,1.016e-18
141.23,3.3113e-17,1.017e-18
141.28,3.3118e-17,1.018e-18
141.33,3.3122e-17,1.018e-18
141.38,3.3203e-17,1.021e-18
141.43,3.3284e-17,1.023e-18
141.48,3.3365e-17,1.026e-18
141.53,3.3461e-17,1.029e-18
141.58,3.3611e-17,1.035e-18
141.63,3.3761e-17,1.041e-18
141.68,3.3912e-17,1.047e-18
141.73,3.4039e-17,1.053e-18
141.78,3.4138e-17,1.057e-18
141.83,3.4238e-17,1.061e-18
141.88,3.4337e-17,1.065e-18
141.93,3.4371e-17,1.067e-18
141.98,3.4371e-17,1.066e-18
142.03,3.4372e-17,1.066e-18
142.08,3.4373e-17,1.066e-18
142.13,3.4403e-17,1.067e-18
142.18,3.4437e-17,1.068e-18
142.23,3.4472e-17,1.069e-18
142.28,3.4512e-17,1.07e-18
142.33,3.4612e-17,1.069e-18
142.38,3.4712e-17,1.068e-18
142.43,3.4812e-17,1.067e-18
142.48,3.4895e-17,1.066e-18
142.53,3.4943e-17,1.064e-18
142.58,3.4990e-17,1.062e-18
142.63,3.5038e-17,1.061e-18
142.68,3.5068e-17,1.061e-18
142.73,3.5083e-17,1.061e-18
142.78,3.5099e-17,1.061e-18
142.83,3.5114e-17,1.061e-18
142.88,3.5154e-17,1.062e-18
142.93,3.5203e-17,1.063e-18
142.98,3.5251e-17,1.065e-18
143.03,3.5299e-17,1.067e-18
143.08,3.5383e-17,1.069e-18
143.13,3.5468e-17,1.072e-18
143.18,3.5553e-17,1.074e-18
143.23,3.5654e-17,1.078e-18
143.28,3.5819e-17,1.084e-18
143.33,3.5985e-17,1.09e-18
143.38,3.6150e-17,1.096e-18
143.43,3.6296e-17,1.103e-18
143.48,3.6414e-17,1.111e-18
143.53,3.6532e-17,1.121e-18
143.58,3.6651e-17,1.131e-18
143.63,3.6726e-17,1.14e-18
143.68,3.6780e-17,1.149e-18
143.73,3.6834e-17,1.158e-18
143.78,3.6887e-17,1.168e-18
143.83,3.7003e-17,1.172e-18
143.88,3.7128e-17,1.177e-18
143.93,3.7252e-17,1.181e-18
143.98,3.7380e-17,1.184e-18
144.03,3.7539e-17,1.182e-18
144.08,3.7698e-17,1.18e-18
144.13,3.7857e-17,1.179e-18
144.18,3.7984e-17,1.177e-18
144.23,3.8040e-17,1.171e-18
144.28,3.8096e-17,1.167e-18
144.33,3.8153e-17,1.164e-18
144.38,3.8146e-17,1.16e-18
144.43,3.8090e-17,1.156e-18
144.48,3.8034e-17,1.152e-18
144.53,3.7977e-17,1.149e-18
144.58,3.7984e-17,1.148e-18
144.63,3.8009e-17,1.148e-18
144.68,3.8033e-17,1.149e-18
144.73,3.8058e-17,1.149e-18
144.78,3.8250e-17,1.155e-18
144.83,3.8442e-17,1.162e-18
144.88,3.8634e-17,1.168e-18
144.93,3.8849e-17,1.176e-18
144.98,3.9138e-17,1.186e-18
145.03,3.9427e-17,1.196e-18
145.08,3.9716e-17,1.207e-18
145.13,3.9995e-17,1.217e-18
145.18,4.0264e-17,1.227e-18
145.23,4.0533e-17,1.236e-18
145.28,4.0801e-17,1.246e-18
145.33,4.0968e-17,1.252e-18
145.38,4.1091e-17,1.255e-18
145.43,4.1213e-17,1.259e-18
145.48,4.1336e-17,1.263e-18
145.53,4.1426e-17,1.266e-18
145.58,4.1512e-17,1.269e-18
145.63,4.1599e-17,1.272e-18
145.68,4.1699e-17,1.275e-18
145.73,4.1865e-17,1.281e-18
145.78,4.2031e-17,1.287e-18
145.83,4.2198e-17,1.293e-18
145.88,4.2386e-17,1.299e-18
145.93,4.2609e-17,1.304e-18
145.98,4.2832e-17,1.31e-18
146.03,4.3055e-17,1.316e-18
146.08,4.3273e-17,1.321e-18
146.13,4.3489e-17,1.326e-18
146.18,4.3705e-17,1.331e-18
146.23,4.3920e-17,1.336e-18
146.28,4.4110e-17,1.341e-18
146.33,4.4294e-17,1.347e-18
146.38,4.4478e-17,1.353e-18
146.43,4.4660e-17,1.358e-18
146.48,4.4806e-17,1.363e-18
146.53,4.4953e-17,1.367e-18
146.58,4.5100e-17,1.371e-18
146.63,4.5273e-17,1.376e-18
146.68,4.5507e-17,1.381e-18
146.73,4.5742e-17,1.386e-18
146.78,4.5977e-17,1.392e-18
146.83,4.6250e-17,1.399e-18
146.88,4.6556e-17,1.407e-18
146.93,4.6862e-17,1.415e-18
146.98,4.7167e-17,1.424e-18
147.03,4.7462e-17,1.433e-18
147.08,4.7753e-17,1.441e-18
147.13,4.8045e-17,1.45e-18
147.18,4.8334e-17,1.459e-18
147.23,4.8497e-17,1.467e-18
147.28,4.8660e-17,1.476e-18
147.33,4.8822e-17,1.487e-18
147.38,4.8957e-17,1.497e-18
147.43,4.9004e-17,1.5e-18
147.48,4.9051e-17,1.502e-18
147.53,4.9097e-17,1.505e-18
147.58,4.9185e-17,1.507e-18
147.63,4.9317e-17,1.507e-18
147.68,4.9449e-17,1.508e-18
147.73,4.9581e-17,1.509e-18
147.78,4.9826e-17,1.515e-18
147.83,5.0116e-17,1.522e-18
147.88,5.0405e-17,1.529e-18
147.93,5.0695e-17,1.537e-18
147.98,5.0936e-17,1.544e-18
148.03,5.1175e-17,1.551e-18
148.08,5.1414e-17,1.559e-18
148.13,5.1645e-17,1.566e-18
148.18,5.1843e-17,1.572e-18
148.23,5.2041e-17,1.578e-18
148.28,5.2239e-17,1.585e-18
148.33,5.2452e-17,1.591e-18
148.38,5.2684e-17,1.597e-18
148.43,5.2917e-17,1.604e-18
148.48,5.3149e-17,1.61e-18
148.53,5.3387e-17,1.617e-18
148.58,5.3627e-17,1.625e-18
148.63,5.3867e-17,1.633e-18
148.68,5.4107e-17,1.641e-18
148.73,5.4388e-17,1.65e-18
148.78,5.4673e-17,1.659e-18
148.83,5.4959e-17,1.669e-18
148.88,5.5250e-17,1.678e-18
148.93,5.5576e-17,1.689e-18
148.98,5.5902e-17,1.699e-18
149.03,5.6228e-17,1.71e-18
149.08,5.6561e-17,1.72e-18
149.13,5.6905e-17,1.731e-18
149.18,5.7249e-17,1.741e-18
149.23,5.7593e-17,1.752e-18
149.28,5.7929e-17,1.763e-18
149.33,5.8260e-17,1.773e-18
149.38,5.8592e-17,1.784e-18
149.43,5.8923e-17,1.795e-18
149.48,5.9218e-17,1.801e-18
149.53,5.9508e-17,1.808e-18
149.58,5.9798e-17,1.814e-18
149.63,6.0086e-17,1.821e-18
149.68,6.0365e-17,1.828e-18
149.73,6.0644e-17,1.835e-18
149.78,6.0923e-17,1.842e-18
149.83,6.1153e-17,1.847e-18
149.88,6.1295e-17,1.85e-18
149.93,6.1437e-17,1.854e-18
149.98,6.1579e-17,1.857e-18
150.03,6.1651e-17,1.86e-18
150.08,6.1677e-17,1.861e-18
150.13,6.1703e-17,1.862e-18
150.18,6.1729e-17,1.863e-18
150.23,6.1924e-17,1.868e-18
150.28,6.2150e-17,1.875e-18
150.33,6.2377e-17,1.883e-18
150.38,6.2612e-17,1.892e-18
150.43,6.2942e-17,1.903e-18
150.48,6.3273e-17,1.915e-18
150.53,6.3603e-17,1.927e-18
150.58,6.3890e-17,1.938e-18
150.63,6.4090e-17,1.945e-18
150.68,6.4290e-17,1.952e-18
150.73,6.4491e-17,1.959e-18
150.78,6.4639e-17,1.963e-18
150.83,6.4751e-17,1.965e-18
150.88,6.4862e-17,1.968e-18
150.93,6.4973e-17,1.97e-18
150.98,6.5156e-17,1.974e-18
151.03,6.5356e-17,1.979e-18
151.08,6.5555e-17,1.984e-18
151.13,6.5768e-17,1.989e-18
151.18,6.6141e-17,2.0e-18
151.23,6.6514e-17,2.012e-18
151.28,6.6886e-17,2.024e-18
151.33,6.7269e-17,2.036e-18
151.38,6.7672e-17,2.048e-18
151.43,6.8075e-17,2.061e-18
151.48,6.8479e-17,2.074e-18
151.53,6.8825e-17,2.085e-18
151.58,6.9126e-17,2.093e-18
151.63,6.9427e-17,2.101e-18
151.68,6.9729e-17,2.11e-18
151.73,6.9916e-17,2.115e-18
151.78,7.0078e-17,2.12e-18
151.83,7.0240e-17,2.125e-18
151.88,7.0396e-17,2.129e-18
151.93,7.0456e-17,2.132e-18
151.98,7.0516e-17,2.135e-18
152.03,7.0576e-17,2.138e-18
152.08,7.0585e-17,2.138e-18
152.13,7.0484e-17,2.133e-18
152.18,7.0384e-17,2.128e-18
152.23,7.0284e-17,2.124e-18
152.28,7.0291e-17,2.123e-18
152.33,7.0382e-17,2.126e-18
152.38,7.0472e-17,2.128e-18
152.43,7.0563e-17,2.131e-18
152.48,7.0803e-17,2.138e-18
152.53,7.1076e-17,2.147e-18
152.58,7.1350e-17,2.156e-18
152.63,7.1628e-17,2.165e-18
152.68,7.1996e-17,2.177e-18
152.73,7.2364e-17,2.19e-18
152.78,7.2732e-17,2.203e-18
152.83,7.3078e-17,2.215e-18
152.88,7.3377e-17,2.224e-18
152.93,7.3677e-17,2.233e-18
152.98,7.3977e-17,2.242e-18
153.03,7.4190e-17,2.249e-18
153.08,7.4336e-17,2.252e-18
153.13,7.4482e-17,2.256e-18
153.18,7.4628e-17,2.26e-18
153.23,7.4751e-17,2.263e-18
153.28,7.4870e-17,2.265e-18
153.33,7.4989e-17,2.268e-18
153.38,7.5106e-17,2.27e-18
153.43,7.5194e-17,2.273e-18
153.48,7.5282e-17,2.275e-18
153.53,7.5371e-17,2.278e-18
153.58,7.5492e-17,2.281e-18
153.63,7.5677e-17,2.286e-18
153.68,7.5863e-17,2.291e-18
153.73,7.6049e-17,2.297e-18
153.78,7.6256e-17,2.303e-18
153.83,7.6478e-17,2.309e-18
153.88,7.6701e-17,2.316e-18
153.93,7.6924e-17,2.322e-18
153.98,7.7119e-17,2.328e-18
154.03,7.7309e-17,2.334e-18
154.08,7.7500e-17,2.339e-18
154.13,7.7689e-17,2.345e-18
154.18,7.7865e-17,2.351e-18
154.23,7.8042e-17,2.357e-18
154.28,7.8218e-17,2.364e-18
154.33,7.8352e-17,2.369e-18
154.38,7.8410e-17,2.37e-18
154.43,7.8468e-17,2.372e-18
154.48,7.8526e-17,2.374e-18
154.53,7.8548e-17,2.375e-18
154.58,7.8546e-17,2.375e-18
154.63,7.8545e-17,2.375e-18
154.68,7.8543e-17,2.375e-18
154.73,7.8605e-17,2.377e-18
154.78,7.8677e-17,2.38e-18
154.83,7.8749e-17,2.382e-18
154.88,7.8831e-17,2.384e-18
154.93,7.8984e-17,2.388e-18
154.98,7.9137e-17,2.392e-18
155.03,7.9290e-17,2.396e-18
155.08,7.9467e-17,2.401e-18
155.13,7.9682e-17,2.408e-18
155.18,7.9896e-17,2.415e-18
155.23,8.0111e-17,2.422e-18
155.28,8.0376e-17,2.431e-18
155.33,8.0669e-17,2.44e-18
155.38,8.0962e-17,2.45e-18
155.43,8.1254e-17,2.46e-18
155.48,8.1421e-17,2.465e-18
155.53,8.1574e-17,2.47e-18
155.58,8.1727e-17,2.474e-18
155.63,8.1851e-17,2.477e-18
155.68,8.1824e-17,2.475e-18
155.73,8.1797e-17,2.472e-18
155.78,8.1770e-17,2.47e-18
155.83,8.1664e-17,2.466e-18
155.88,8.1448e-17,2.459e-18
155.93,8.1233e-17,2.452e-18
155.98,8.1018e-17,2.446e-18
156.03,8.0736e-17,2.437e-18
156.08,8.0424e-17,2.428e-18
156.13,8.0111e-17,2.418e-18
156.18,7.9799e-17,2.409e-18
156.23,7.9622e-17,2.404e-18
156.28,7.9454e-17,2.399e-18
156.33,7.9286e-17,2.394e-18
156.38,7.9162e-17,2.39e-18
156.43,7.9196e-17,2.391e-18
156.48,7.9229e-17,2.392e-18
156.53,7.9263e-17,2.393e-18
156.58,7.9376e-17,2.397e-18
156.63,7.9576e-17,2.403e-18
156.68,7.9775e-17,2.409e-18
156.73,7.9975e-17,2.415e-18
156.78,8.0208e-17,2.422e-18
156.83,8.0453e-17,2.43e-18
156.88,8.0698e-17,2.437e-18
156.93,8.0943e-17,2.445e-18
156.98,8.1112e-17,2.449e-18
157.03,8.1282e-17,2.455e-18
157.08,8.1451e-17,2.46e-18
157.13,8.1566e-17,2.463e-18
157.18,8.1524e-17,2.461e-18
157.23,8.1482e-17,2.459e-18
157.28,8.1440e-17,2.457e-18
157.33,8.1321e-17,2.453e-18
157.38,8.1137e-17,2.448e-18
157.43,8.0953e-17,2.443e-18
157.48,8.0769e-17,2.438e-18
157.53,8.0631e-17,2.434e-18
157.58,8.0505e-17,2.43e-18
157.63,8.0380e-17,2.427e-18
157.68,8.0260e-17,2.423e-18
157.73,8.0232e-17,2.422e-18
157.78,8.0205e-17,2.422e-18
157.83,8.0177e-17,2.421e-18
157.88,8.0152e-17,2.42e-18
157.93,8.0134e-17,2.419e-18
157.98,8.0115e-17,2.419e-18
158.03,8.0096e-17,2.418e-18
158.08,7.9979e-17,2.415e-18
158.13,7.9798e-17,2.41e-18
158.18,7.9616e-17,2.406e-18
158.23,7.9434e-17,2.402e-18
158.28,7.9116e-17,2.393e-18
158.33,7.8780e-17,2.383e-18
158.38,7.8443e-17,2.373e-18
158.43,7.8116e-17,2.363e-18
158.48,7.7845e-17,2.354e-18
158.53,7.7574e-17,2.345e-18
158.58,7.7303e-17,2.336e-18
158.63,7.7094e-17,2.33e-18
158.68,7.6977e-17,2.326e-18
158.73,7.6860e-17,2.323e-18
158.78,7.6743e-17,2.32e-18
158.83,7.6675e-17,2.318e-18
158.88,7.6628e-17,2.317e-18
158.93,7.6582e-17,2.316e-18
158.98,7.6536e-17,2.315e-18
159.03,7.6474e-17,2.312e-18
159.08,7.6410e-17,2.31e-18
159.13,7.6347e-17,2.307e-18
159.18,7.6285e-17,2.305e-18
159.23,7.6229e-17,2.303e-18
159.28,7.6174e-17,2.301e-18
159.33,7.6118e-17,2.299e-18
159.38,7.6074e-17,2.298e-18
159.43,7.6041e-17,2.297e-18
159.48,7.6009e-17,2.295e-18
159.53,7.5977e-17,2.294e-18
159.58,7.5995e-17,2.295e-18
159.63,7.6028e-17,2.296e-18
159.68,7.6062e-17,2.297e-18
159.73,7.6097e-17,2.298e-18
159.78,7.6179e-17,2.3e-18
159.83,7.6261e-17,2.302e-18
159.88,7.6343e-17,2.305e-18
159.93,7.6426e-17,2.307e-18
159.98,7.6511e-17,2.309e-18
160.03,7.6597e-17,2.312e-18
160.08,7.6682e-17,2.315e-18
160.13,7.6766e-17,2.318e-18
160.18,7.6849e-17,2.321e-18
160.23,7.6931e-17,2.324e-18
160.28,7.7014e-17,2.328e-18
160.33,7.7022e-17,2.328e-18
160.38,7.7017e-17,2.328e-18
160.43,7.7013e-17,2.327e-18
160.48,7.6994e-17,2.326e-18
160.53,7.6883e-17,2.322e-18
160.58,7.6773e-17,2.318e-18
160.63,7.6662e-17,2.314e-18
160.68,7.6525e-17,2.31e-18
160.73,7.6350e-17,2.305e-18
160.78,7.6175e-17,2.3e-18
160.83,7.6001e-17,2.295e-18
160.88,7.5801e-17,2.289e-18
160.93,7.5589e-17,2.283e-18
160.98,7.5377e-17,2.278e-18
161.03,7.5166e-17,2.272e-18
161.08,7.5025e-17,2.268e-18
161.13,7.4886e-17,2.263e-18
161.18,7.4748e-17,2.259e-18
161.23,7.4618e-17,2.255e-18
161.28,7.4514e-17,2.252e-18
161.33,7.4410e-17,2.249e-18
161.38,7.4306e-17,2.247e-18
161.43,7.4183e-17,2.243e-18
161.48,7.4042e-17,2.239e-18
161.53,7.3901e-17,2.234e-18
161.58,7.3760e-17,2.23e-18
161.63,7.3601e-17,2.225e-18
161.68,7.3438e-17,2.219e-18
161.73,7.3275e-17,2.214e-18
