T,author_year,download_url,comments,formula,name,citation,fname
298.0,SutoLee(1983),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_SutoLee(1983)_298K_106.1-143.7nm.txt",Absorption measurements at a resolution of 0.2 nm using synchrotron radiation as a light source,NH3,ammonia,"

  M. Suto and L.C. Lee, ""Photodissociation of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_SutoLee(1983)_298K_106.csv"
298.0,SutoLee(1983),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_SutoLee(1983)_298K_121.567nm.txt",Absorption measurements in the 106-206 nm region using synchrotron radiation as a light source; spectral resolution 0.2 nm,NH3,ammonia,"

  M. Suto and L.C. Lee, ""Photodissociation of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_SutoLee(1983)_298K_121.csv"
298.0,SutoLee(1983),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_SutoLee(1983)_298K_142.0-173.9nm.txt",Absorption measurements at a resolution of 0.2 nm using synchrotron radiation as a light source,NH3,ammonia,"

  M. Suto and L.C. Lee, ""Photodissociation of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_SutoLee(1983)_298K_142.csv"
298.0,SutoLee(1983),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_SutoLee(1983)_298K_170.1-205.6nm.txt",Absorption measurements at a resolution of 0.2 nm using synchrotron radiation as a light source,NH3,ammonia,"

  M. Suto and L.C. Lee, ""Photodissociation of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_SutoLee(1983)_298K_170.csv"
298.0,Syage(1992),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Syage(1992)_298K_122-219nm.txt","Absorption coefficients and cross sections were recorded at single wavelengths (at a resolution of 0.4 nm) using flowing samples and a deuterium arc-discharge lamp
with MgF",NH3,ammonia,"

  J.A. Syage, R.B. Cohen, and J. Steadman, ""Spectroscopy and dynamics of jet-cooled hydrazines and ammonia. I. Single-photon absorption and ionization spectra"",
  J. Chem. Phys. 97, 6072-6084 (1992); 


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Syage(1992)_298K_122-219nm.csv"
298.0,Tannenbaum(1953),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Tannenbaum(1953)_298K_171.6-226.0nm.txt",Absorption measurements by photographic spectrophotometry using flowing and static vapors and hydrogen lamps as light sources,NH3,ammonia,"

  E. Tannenbaum, E.M. Coffin, and A.J. Harrison, ""The far ultraviolet absorption spectra of simple alkyl amines"",
  J. Chem. Phys. 21, 311-318 (1953); 


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Tannenbaum(1953)_298K_171.csv"
298.0,Thompson(1963),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Thompson(1963)_298K_185-233nm.txt",Absorption measurements with a Perkin-Elmer spectrophotometer able to measure absorption coefficients k as low as 10,NH3,ammonia,"

  B.A. Thompson, P. Harteck, and R.R. Reeves, Jr., ""Ultraviolet absorption coefficients of CO","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Thompson(1963)_298K_185-233nm.csv"
300.0,VatsaVolpp(2001),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_VatsaVolpp(2001)_300K_121.567nm.txt",Absorption cross section at the H atom Lyman-α wavelength (121.567 nm) employing narrow band (Δλ = 0.0006 nm) laser radiation generated by third-order sum-difference frequency conversion,NH3,ammonia,"

  R.K. Vatsa and H.-R. Volpp, ""Absorption cross sections for some atmospherically important molecules at the H atom Lyman-α wavelength (121.567 nm)"",
  Chem. Phys. Lett. 340, 289-295 (2001); 


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_VatsaVolpp(2001)_300K_121.csv"
295.0,WalkerWeissler(1955),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_WalkerWeissler(1955)_295K_76.9-121.6nm.txt",Absorption measurements at a resolution of 0.5 nm,NH3,ammonia,"

  W.C. Walker and G.L. Weissler, ""Photoionization efficiencies and cross sections in NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_WalkerWeissler(1955)_295K_76.csv"
298.0,Watanabe(1954),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Watanabe(1954)_298K_107.0-164.0nm.txt",Absorption measurements using a vacuum monochromator at a resolution of about 0.1 nm and a hydrogen discharge tube as a light source,NH3,ammonia,"

  K. Watanabe, ""Photoionization and total absorption cross section of gases. I. Ionization potentials of several molecules. Cross sections of NH3 and NO"",
  J. Chem. Phys. 22, 1564-1570 (1954);


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Watanabe(1954)_298K_107.csv"
298.0,Watanabe(1954),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Watanabe(1954)_298K_162.5-218.0nm.txt",Absorption measurements using a vacuum monochromator at a resolution of about 0.1 nm and a hydrogen discharge tube as a light source,NH3,ammonia,"

  K. Watanabe, ""Photoionization and total absorption cross section of gases. I. Ionization potentials of several molecules. Cross sections of NH3 and NO"",
  J. Chem. Phys. 22, 1564-1570 (1954);


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Watanabe(1954)_298K_162.csv"
298.0,WatanabeSood(1965),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_WatanabeSood(1965)_298K_117.0-133.0nm.txt","Absorption measurements between 85 and 165 nm using the Hopfield helium continuum as source for the region 58-100 nm with a resolution of 0.03 nm and the hydrogen source for the region 85-165 nm with a resolution of 0.02 nm
",NH3,ammonia,"

  K. Watanabe and S.P. Sood, ""Absorption and photoionization coefficients of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_WatanabeSood(1965)_298K_117.csv"
298.0,WatanabeSood(1965),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_WatanabeSood(1965)_298K_133.0-148.6nm.txt","Absorption measurements between 85 and 165 nm using the Hopfield helium continuum as source for the region 58-100 nm with a resolution of 0.03 nm and the hydrogen source for the region 85-165 nm with a resolution of 0.02 nm
",NH3,ammonia,"

  K. Watanabe and S.P. Sood, ""Absorption and photoionization coefficients of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_WatanabeSood(1965)_298K_133.csv"
298.0,WatanabeSood(1965),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_WatanabeSood(1965)_298K_147.8-164.8nm.txt","Absorption measurements between 85 and 165 nm using the Hopfield helium continuum as source for the region 58-100 nm with a resolution of 0.03 nm and the hydrogen source for the region 85-165 nm with a resolution of 0.02 nm
",NH3,ammonia,"

  K. Watanabe and S.P. Sood, ""Absorption and photoionization coefficients of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_WatanabeSood(1965)_298K_147.csv"
298.0,WatanabeSood(1965),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_WatanabeSood(1965)_298K_57.8-100.0nm.txt","Absorption measurements between 85 and 165 nm using the Hopfield helium continuum as source for the region 58-100 nm with a resolution of 0.03 nm and the hydrogen source for the region 85-165 nm with a resolution of 0.02 nm
",NH3,ammonia,"

  K. Watanabe and S.P. Sood, ""Absorption and photoionization coefficients of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_WatanabeSood(1965)_298K_57.csv"
298.0,WatanabeSood(1965),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_WatanabeSood(1965)_298K_99.3-118.7nm.txt","Absorption measurements between 85 and 165 nm using the Hopfield helium continuum as source for the region 58-100 nm with a resolution of 0.03 nm and the hydrogen source for the region 85-165 nm with a resolution of 0.02 nm
",NH3,ammonia,"

  K. Watanabe and S.P. Sood, ""Absorption and photoionization coefficients of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_WatanabeSood(1965)_298K_99.csv"
298.0,Wight(1977),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wight(1977)_298K_20.7-124nm(e,e).txt","Measured by dipole (e,e) spectroscopy; energies E (in eV) and differential oscillator strengths df/dE (in 10",NH3,ammonia,"

  G.R. Wight, M.J. Van der Wiel, and C.E. Brion, ""Dipole oscillator strengths for excitation, ionisation and fragmentation of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wight(1977)_298K_20.csv"
