Î»,Ïƒ,uncertainty
156.18,1.9742e-17,2.16e-19
156.23,1.9760e-17,2.17e-19
156.28,1.9777e-17,2.17e-19
156.33,1.9794e-17,2.18e-19
156.38,1.9818e-17,2.19e-19
156.43,1.9865e-17,2.19e-19
156.48,1.9911e-17,2.2e-19
156.53,1.9958e-17,2.2e-19
156.58,2.0011e-17,2.2e-19
156.63,2.0071e-17,2.21e-19
156.68,2.0131e-17,2.21e-19
156.73,2.0191e-17,2.21e-19
156.78,2.0256e-17,2.21e-19
156.83,2.0322e-17,2.22e-19
156.88,2.0387e-17,2.22e-19
156.93,2.0453e-17,2.22e-19
156.98,2.0569e-17,2.23e-19
157.03,2.0686e-17,2.24e-19
157.08,2.0802e-17,2.26e-19
157.13,2.0906e-17,2.27e-19
157.18,2.0977e-17,2.28e-19
157.23,2.1048e-17,2.3e-19
157.28,2.1119e-17,2.31e-19
157.33,2.1096e-17,2.31e-19
157.38,2.0993e-17,2.29e-19
157.43,2.0891e-17,2.27e-19
157.48,2.0788e-17,2.25e-19
157.53,2.0701e-17,2.23e-19
157.58,2.0616e-17,2.21e-19
157.63,2.0532e-17,2.2e-19
157.68,2.0452e-17,2.18e-19
157.73,2.0441e-17,2.18e-19
157.78,2.0429e-17,2.19e-19
157.83,2.0417e-17,2.19e-19
157.88,2.0416e-17,2.19e-19
157.93,2.0435e-17,2.19e-19
157.98,2.0454e-17,2.2e-19
158.03,2.0473e-17,2.2e-19
158.08,2.0499e-17,2.21e-19
158.13,2.0529e-17,2.22e-19
158.18,2.0560e-17,2.23e-19
158.23,2.0591e-17,2.24e-19
158.28,2.0619e-17,2.26e-19
158.33,2.0648e-17,2.27e-19
158.38,2.0677e-17,2.29e-19
158.43,2.0711e-17,2.3e-19
158.48,2.0783e-17,2.31e-19
158.53,2.0854e-17,2.32e-19
158.58,2.0926e-17,2.34e-19
158.63,2.1024e-17,2.35e-19
158.68,2.1161e-17,2.38e-19
158.73,2.1299e-17,2.41e-19
158.78,2.1436e-17,2.44e-19
158.83,2.1556e-17,2.46e-19
158.88,2.1668e-17,2.48e-19
158.93,2.1779e-17,2.51e-19
158.98,2.1890e-17,2.53e-19
159.03,2.1942e-17,2.54e-19
159.08,2.1990e-17,2.54e-19
159.13,2.2038e-17,2.55e-19
159.18,2.2086e-17,2.55e-19
159.23,2.2136e-17,2.54e-19
159.28,2.2186e-17,2.53e-19
159.33,2.2236e-17,2.52e-19
159.38,2.2303e-17,2.51e-19
159.43,2.2386e-17,2.51e-19
159.48,2.2469e-17,2.51e-19
159.53,2.2553e-17,2.51e-19
159.58,2.2646e-17,2.53e-19
159.63,2.2743e-17,2.55e-19
159.68,2.2839e-17,2.58e-19
159.73,2.2935e-17,2.6e-19
159.78,2.2998e-17,2.61e-19
159.83,2.3061e-17,2.61e-19
159.88,2.3124e-17,2.62e-19
159.93,2.3179e-17,2.63e-19
159.98,2.3216e-17,2.63e-19
160.03,2.3253e-17,2.63e-19
160.08,2.3290e-17,2.62e-19
160.13,2.3348e-17,2.63e-19
160.18,2.3422e-17,2.63e-19
160.23,2.3495e-17,2.63e-19
160.28,2.3569e-17,2.63e-19
160.33,2.3627e-17,2.64e-19
160.38,2.3684e-17,2.64e-19
160.43,2.3740e-17,2.64e-19
160.48,2.3790e-17,2.63e-19
160.53,2.3800e-17,2.62e-19
160.58,2.3811e-17,2.61e-19
160.63,2.3821e-17,2.6e-19
160.68,2.3822e-17,2.59e-19
160.73,2.3812e-17,2.58e-19
160.78,2.3801e-17,2.57e-19
160.83,2.3790e-17,2.56e-19
160.88,2.3780e-17,2.55e-19
160.93,2.3771e-17,2.55e-19
160.98,2.3761e-17,2.54e-19
161.03,2.3751e-17,2.55e-19
161.08,2.3757e-17,2.57e-19
161.13,2.3763e-17,2.61e-19
161.18,2.3770e-17,2.65e-19
161.23,2.3777e-17,2.69e-19
161.28,2.3789e-17,2.75e-19
161.33,2.3801e-17,2.81e-19
161.38,2.3812e-17,2.87e-19
161.43,2.3820e-17,2.9e-19
161.48,2.3824e-17,2.88e-19
161.53,2.3828e-17,2.86e-19
161.58,2.3832e-17,2.84e-19
161.63,2.3861e-17,2.83e-19
