λ,σ,uncertainty
342.1954,2.04943,-22
342.30801,1.86172,-22
342.42068,1.7429,-22
342.53329,1.69993,-22
342.6459,1.78454,-22
342.75851,2.05006,-22
342.871,2.43361,-22
342.98361,3.13289,-22
343.09619,4.05782,-22
343.20871,4.42783,-22
343.32129,4.34001,-22
343.43381,4.27007,-22
343.5463,4.57598,-22
343.65881,5.87416,-22
343.7713,9.16842,-22
343.88379,1.264,-21
343.99631,1.31529,-21
344.1087,1.20566,-21
344.22119,1.05079,-21
344.33359,8.9576,-22
344.44611,7.56168,-22
344.5585,6.36639,-22
344.6709,5.36873,-22
344.78329,4.54551,-22
344.89569,3.86914,-22
345.00809,3.29778,-22
345.12039,2.8632,-22
345.23279,2.55019,-22
345.34509,2.29928,-22
345.45749,2.13653,-22
345.56979,2.03355,-22
345.6821,1.88998,-22
345.7944,1.7036,-22
345.90671,1.50648,-22
346.01901,1.34116,-22
346.13129,1.22643,-22
346.24359,1.16912,-22
346.3558,1.14839,-22
346.46799,1.12533,-22
346.58029,1.12521,-22
346.6925,1.17652,-22
346.80469,1.37907,-22
346.9169,1.92598,-22
347.02911,3.04285,-22
347.1413,3.99481,-22
347.25351,4.03859,-22
347.36569,3.65116,-22
347.47781,3.16386,-22
347.59,2.68529,-22
347.70209,2.26844,-22
347.81421,1.90361,-22
347.92639,1.60632,-22
348.03851,1.35045,-22
348.15051,1.15388,-22
348.2626,9.88242,-23
348.37469,8.69383,-23
348.48679,7.88468,-23
348.59879,7.26988,-23
348.71091,6.5675,-23
348.82291,5.80543,-23
348.935,5.19491,-23
349.047,4.75992,-23
349.159,4.68679,-23
349.271,5.18347,-23
349.383,5.89592,-23
349.495,6.05497,-23
349.6069,5.75445,-23
349.7189,5.39612,-23
349.8309,5.09978,-23
349.94281,5.06455,-23
350.05469,5.22519,-23
350.16669,5.47362,-23
350.27859,5.59953,-23
350.3905,5.88776,-23
350.50241,6.31401,-23
350.61429,6.68657,-23
350.7262,7.13998,-23
350.83801,7.84993,-23
350.94989,9.88797,-23
351.0618,1.47722,-22
351.17361,2.4638,-22
351.2854,3.50231,-22
351.39719,3.78412,-22
351.50909,3.54925,-22
351.62091,3.13543,-22
351.7327,2.70479,-22
351.84451,2.29105,-22
351.9563,1.93072,-22
352.06799,1.62524,-22
352.17981,1.39008,-22
352.2915,1.21718,-22
352.40329,1.0972,-22
352.51501,9.95459,-23
